RecordId,TRackBC,TPositionId,TStatusSummary,TSumStateDescription,SPositionBC,ActionDateTime,UserName
1,PLATE10000-E,A1,0,Correct pipetting,1402280692,1/1/2014 12:25,Hokey.Pokey
2,PLATE10000-E,B1,0,Correct pipetting,1402281412,1/1/2014 12:25,Hokey.Pokey
3,PLATE10000-E,C1,0,Correct pipetting,1402270838,1/1/2014 12:25,Hokey.Pokey
4,PLATE10000-E,D1,0,Correct pipetting,1402282256,1/1/2014 12:25,Hokey.Pokey
5,PLATE10000-E,E1,0,Correct pipetting,1402282440,1/1/2014 12:25,Hokey.Pokey
6,PLATE10000-E,F1,0,Correct pipetting,1402280133,1/1/2014 12:25,Hokey.Pokey
7,PLATE10000-E,G1,0,Correct pipetting,1402281567,1/1/2014 12:25,Hokey.Pokey
8,PLATE10000-E,H1,0,Correct pipetting,1402270017,1/1/2014 12:25,Hokey.Pokey
9,PLATE10000-E,A2,0,Failed pipetting,1402280692,1/1/2014 12:26,Hokey.Pokey
10,PLATE10000-E,B2,0,Correct pipetting,1402281412,1/1/2014 12:26,Hokey.Pokey
11,PLATE10000-E,C2,0,Correct pipetting,1402270838,1/1/2014 12:26,Hokey.Pokey
12,PLATE10000-E,D2,0,Correct pipetting,1402282256,1/1/2014 12:26,Hokey.Pokey
13,PLATE10000-E,E2,0,Correct pipetting,1402282440,1/1/2014 12:26,Hokey.Pokey
14,PLATE10000-E,F2,0,Correct pipetting,1402280133,1/1/2014 12:26,Hokey.Pokey
15,PLATE10000-E,G2,0,Correct pipetting,1402281567,1/1/2014 12:26,Hokey.Pokey
16,PLATE10000-E,H2,0,Correct pipetting,1402270017,1/1/2014 12:26,Hokey.Pokey
18,PLATE10000-E,B3,0,Correct pipetting,1402270082,1/1/2014 12:26,Hokey.Pokey
19,PLATE10000-E,C3,0,Correct pipetting,1402282445,1/1/2014 12:26,Hokey.Pokey
20,PLATE10000-E,D3,0,Correct pipetting,1402281520,1/1/2014 12:26,Hokey.Pokey
21,PLATE10000-E,E3,0,Correct pipetting,1402281540,1/1/2014 12:26,Hokey.Pokey
22,PLATE10000-E,F3,0,Correct pipetting,1402280355,1/1/2014 12:26,Hokey.Pokey
